id,text
2761,池
3007,対する
3008,対外
3009,対立
3010,反対
3004,君主国
3005,君
3006,〜君
3065,数える
3066,数
3067,数字
3068,数学
3069,人数
3070,点数
8739,数年
2994,住む
2995,住人
3055,道
3056,歩道
3057,〜道
7474,北海道
7624,水道
3058,間
3059,時間
3060,〜間
3061,人間
3062,間もなく
3063,空間
3071,楽しい
3072,音楽
3073,楽
3026,心身
3027,身体
3028,全身
3864,私自身
5503,身
3038,所
3039,入所
3040,出所
3041,他所
3042,名所
3043,住所
3077,電車
3078,電気
3079,電池
3080,電子
3081,電力
3029,森
3011,局
3012,支局
3013,役
3014,役人
3015,役に立つ
3016,大役
7737,役目
3074,話す
3075,電話
3076,会話
3001,医大
3002,医学
3003,医者
3051,答え
3052,答える
3064,雲
3035,場所
3036,入場
3037,工場
3047,番号
3048,一番
3049,二番
3050,交番
8664,番組
2990,馬
2991,馬力
3022,究明
3023,研究
168,癶
166,介
8787,
417,台
8779,
229,正
7572,教え
716,服
730,相
220,聿
712,和
854,予
176,阝
175,咅
420,疋
587,売
188,重
718,物
734,送
857,新
8785,
9082,空手
167,史
178,辛
218,反
3473,高校生
7625,付近
720,表
7741,通す
2915,星
732,美
708,事
983,保
424,覀
9078,交代
9145,心強い
1029,試
9142,元々
3470,通り
733,負
722,乗
3466,交わる
3476,見付ける
3479,欠ける
710,具
3514,白黒
9020,出身
3474,中学校
2996,住民
719,苦
2823,ハート形
723,客
2933,千円札
724,屋
727,持
731,県
736,談
3429,曲がる
3469,小学校
3471,気を付けて
3477,弱虫
3478,弱々しい
2917,海
3483,高さ
3475,付く
7571,不自由
8772,
8773,
8819,
8820,永
3017,決
3018,決める
3019,決心
3054,買う
3020,未決
3021,自決
3025,投げる
8814,投手
714,定
737,要
1048,験
717,泳
709,使
735,重
725,度
738,勝
721,部
728,界
729,発
715,実
739,仮
858,返
711,受
3111,苦しい
3089,道具
3090,家具
3107,物
3109,名物
8701,生物
3105,服
3053,絵
8740,絵文字
3115,お客さん
3116,客室
3139,〜県
3142,負ける
3130,持つ
3112,乗る
4147,試みる
4150,試食
4377,表す
7573,表
2816,売る
3117,〜屋
3119,肉屋
3120,茶屋
3121,魚屋
3122,名古屋
7149,本屋
3140,美しい
3141,美人
3123,今度
3124,丁度
3125,毎度
3126,角度
3127,〜度
7682,何度
3092,和風
3093,平和
3094,和食
3095,和室
3096,和服
3472,新しい
7475,新年
7487,対談
3088,使う
7464,天使
8802,使用
4162,体験
4165,試験
3150,重い
3152,体重
3153,二重
3151,重要
3154,必要
3155,要点
7478,要る
3091,受ける
4163,受験
3118,部屋
7460,全部
7532,〜部
7533,部分
8665,部室
8741,部首
3148,送る
3523,返す
3143,勝負
3144,勝つ
3145,勝者
3146,必勝
3147,楽勝
3100,予定
3101,決定
3803,保持
3806,生保
3807,保つ
3102,実
3104,実力
4164,実験
3134,発売
3135,発音
3136,発見
4376,発表
4380,出発
3106,泳ぐ
7683,泳ぎ
185,曲
186,丙
774,最
4129,私大
182,酉
180,各
219,束
761,歌
762,算
763,聞
764,語
766,鳴
768,横
769,調
439,売
913,求
181,豆
184,頁
183,辰
200,乃
275,失
179,圣
499,公
7621,売れる
7680,役場
8803,番号札
770,親
7742,台所
8962,山道
240,隹
9037,回答
3110,苦い
744,院
745,終
767,線
746,習
753,開
9022,高度
187,疒
3486,研究所
3488,助かる
713,始
8703,今朝
2999,助手
3024,研究室
3492,決まる
7535,思わず
740,起
747,転
3426,当て字
750,葉
752,運
755,飲
756,業
3480,目医者
3481,一番目
3484,楽しみ
3485,〜向け
3487,近道
3491,楽しむ
3493,投げ付ける
3495,話
3113,乗せる
3494,化かす
3506,出会う
8774,
8742,近所
3133,世界
3082,事
3083,用事
3084,工事
3085,大事
3086,返事
3087,食事
3103,事実
7684,記事
7740,火事
8702,家事
3137,相談
3138,相手
3156,仮に
3157,仮名
3158,仮定
772,顔
9051,頁
751,軽
749,落
758,路
759,農
742,配
743,酒
773,病
771,頭
765,読
748,進
754,集
760,鉄
3166,学院
7628,入院
8666,大学院
741,速
3097,始める
3217,鳴く
3192,飲む
7536,立ち飲み
3223,親
3224,親しい
3225,親切
3226,親友
757,漢
3206,算数
3207,算定する
8743,足し算
8744,引き算
3208,聞く
3209,新聞
3220,調子
3221,強調
3222,調べる
7685,口調
3233,最も
3234,最高
3235,最後
3236,最近
3204,歌
3205,歌手
3185,開ける
3186,公開
3188,開発
4375,開始
3171,習う
3172,転がる
3173,自転車
3175,転送
3176,回転
3707,求める
3708,求人
3924,要求
3218,線
4379,曲線
3219,横
3159,起きる
3210,日本語
3211,フランス語
3212,スペイン語
3214,主語
3421,外来語
7458,言語
7686,語る
3181,青葉
7534,千葉
7629,葉
3174,運転する
3183,運ぶ
3184,運がいい
3195,道路
3196,線路
3197,路地
3227,頭
3187,開業
3193,工業
7574,作業
3162,配る
3564,心配
3228,顔
3229,顔付き
3180,落ちる
3167,終わる
3168,終点
3169,終了
3170,最終
3194,漢字
3189,集める
3190,集中
3191,集金
3160,早速
3161,速度
7472,速い
3177,進む
3178,進化
3179,進行
3201,地下鉄
3202,鉄人
3203,電鉄
3717,私鉄
9052,頁
3199,農民
3200,農業
7743,農場
199,単
197,音
775,争
777,伝
783,低
796,拾
8939,進める
193,及
779,好
781,老
782,位
794,注
797,指
806,功
809,働
8775,
8777,
190,申
191,兄
807,特
194,戈
198,少
196,艮
786,利
2818,売り切れ
7747,見事
195,皮
7578,支度
2819,売り手
189,令
3213,物語
8951,欠く
3482,仕返し
791,放
3507,苦しむ
3508,気付く
7745,心持ち
3509,見送る
3513,苦手
4148,試す
4354,入学試験
7626,欠かす
7577,屋上
7689,新た
812,味
3099,始めに
7630,予め
3108,本物
785,別
776,仲
788,労
798,洋
808,便
7632,文字通り
784,初
3132,気持ち
3490,返る
3498,乗り場
7631,平仮名
3114,乗り物
3131,金持ち
2817,売り上げ
3284,集中する
3456,安売り
3499,使い方
3504,勝ち
787,努
790,岸
3505,決定する
3511,受付
3500,仕事
3512,買い物
3502,負け犬
3949,気持ちいい
3510,時々
7453,〜付き
7466,発売中
7489,食べ物
7493,丁度いい
7497,保持する
7514,通う
7627,見物
8745,生物学
8776,
8932,転がす
3163,お酒
3164,日本酒
3165,病院
3230,病気
3231,〜病
3232,病人
7575,病む
3215,読む
3216,読み方
3182,軽い
800,秒
801,級
780,成
804,競
793,波
803,戦
789,命
810,令
778,共
792,昔
811,意
799,神
795,育
802,追
805,良
3271,苦労
3245,伝える
8815,伝記
3260,初回
3261,最初
7687,初歩
3250,好き
3251,友好
3262,別の
3263,別に
3264,別人
3265,別々
7744,別
3269,努力
3267,利く
3276,海岸
3241,仲間
3242,仲
3243,仲直り
3287,拾う
3258,低い
3259,最低
3266,特別
3313,特に
3281,注ぐ
3283,注文
3149,放送する
3277,放す
3278,開放する
3292,洋風
3293,洋服
3294,太平洋
3295,洋食
3296,洋室
7690,西洋
3238,争う
3254,老人
3255,〜位
3256,一位
3257,首位
3288,指す
3289,指
3291,指定する
9181,リンゴ
9210,おやつ
3279,昔
7746,昔話
3273,命
3274,運命
3275,命令
3246,共通点
3247,共同
3248,公共
3249,共有
3239,戦争
3306,戦い
3307,作戦
3308,戦車
3309,戦場
3280,電波
7490,波
3297,神
3298,神道
3299,神社
3240,競争
3310,競う
3252,成る
3301,高級
3302,初級
3303,中級
3304,上級
3268,便利
3314,不便
3315,便所
3270,労働
3272,労働者
3316,働く
3253,成功
3282,注意
3317,意見
4373,意外
7579,用意
3311,良い
3892,不良
339,予
852,合
208,免
3549,運転手
3552,母親
818,流
831,深
834,陽
842,温
845,登
847,短
206,廴
204,亜
205,其
203,者
390,業
269,共
817,根
830,族
833,童
846,着
820,倍
201,早
399,求
822,島
828,商
849,泉
202,弟
726,待
207,示
815,息
819,消
821,員
836,寒
841,歯
835,階
827,動
844,湯
8778,
8821,直
8933,苦しめる
8946,終える
3925,要求する
8668,大学院生
3098,始まる
3562,起こる
3517,鳴き声
3521,音読み
3550,落ち葉
3556,転ぶ
3561,開く
3565,鳴る
3582,伝わる
7749,親分
7635,落ち
3950,運
3519,聞こえる
3559,終わり
3520,心配事
3555,話し方
3567,勝手
3566,歌う
3557,集まる
3516,酒飲み
3563,心配する
3518,飲み物
3551,父親
3553,三番目
7492,言葉
7693,集まり
7750,顔文字
3560,終電
3558,落とす
3305,追う
3285,育つ
3286,教育
3318,意味
3319,味
7463,味方
9177,おはよう
9178,ホテル
9184,いつ
9182,コーヒー
9179,これ
9183,こんにちは
9180,する
3300,秒
9187,うん
9191,こんばんは
9190,さようなら
9186,テレビ
9185,どれ
9189,ノート
9188,はい
9197,あなた
9196,いいえ
9193,コンビニ
823,祭
824,章
814,庭
843,港
839,期
825,第
832,球
816,旅
3128,待つ
840,植
1890,僕
848,野
826,都
838,暑
813,勉
829,悪
3355,商売
3356,商人
3333,流す
3334,流行
3335,一流
3336,本流
3340,店員
3341,全員
3342,社員
3343,会社員
7580,会員
7581,船員
3372,一階
3373,二階
3374,四十二階
7452,〜階
3370,童話
3344,広島
7634,島
3371,太陽
7636,陽気
3382,歯医者
3383,虫歯
3384,歯
3375,寒い
3364,深い
3365,深夜
3366,水深
3367,最深
3352,動く
3353,動物
3354,運動
7692,行動
8748,活動
3328,根
3329,根本
3330,屋根
3331,根気
3332,大根
3391,登る
3392,登山
3389,茶の湯
3390,湯気
8747,湯
3401,泉
3393,着る
8817,着々
3385,温かい
3386,温泉
3387,温度
4847,気温
9192,それ
9194,デパート
9199,あれ
9203,カバン
9204,タクシー
9201,どの
9200,ドル
9202,ない
9198,この
9195,すみません
3424,合う
3398,短い
3399,短刀
3337,消す
3926,消化
3338,〜倍
3339,二倍
3368,球
7504,地球
3377,暑い
3381,植物
7748,植える
3378,期待
3379,学期
3380,時期
3400,短期
7691,期間
3320,勉強
3321,家庭
3322,庭
3361,家族
3362,民族
3363,血族
3345,祭
8816,祭日
3369,野球
3323,息
3324,息子
3325,利息
3350,東京都
3351,京都
3649,都合
7457,都市
7582,都会
3388,空港
8704,港
7498,僕
7583,女神
3579,追いかける
226,冊
221,意
224,東
8781,
7537,田代島
8746,指先
3578,戦う
3577,追い付く
234,身
866,橋
859,問
861,想
863,整
872,題
873,館
878,料
894,疑
895,皆
232,忄
223,丸
231,央
235,果
239,百
222,坴
227,品
215,尺
879,標
864,暗
870,詩
877,士
881,然
886,選
865,様
868,緑
880,殺
887,鏡
871,銀
884,賞
8822,良
8823,象
230,原
3570,神風
8943,受かる
9009,天王星
7495,別れる
3571,手伝う
3888,温める
3548,飲み会
8667,親指
3574,右利き
3515,酒好き
3573,体育
3576,育てる
3581,大好き
3244,仲良し
3290,小指
3580,注文する
3569,初めて
3583,放れる
3312,仲良く
3568,初めに
3572,左利き
3554,見返る
7496,共有する
7576,中指
3394,着く
3346,文章
9205,その
9206,あの
9207,でも
9211,どこ
9208,まだ
9209,ここ
9212,もしもし
9214,ガラス
9215,そこ
9217,キロ
3326,旅
3327,旅行
3357,悪い
3358,悪人
3360,最悪
3347,第二章
3348,第一
3349,第一位
9213,ほとんど
9216,あそこ
9176,ちょっと
9218,タバコ
9219,サービス
9220,しかし
9221,パン
9222,とても
9223,ビル
9224,もう
1837,誰
1883,俺
893,映
883,課
891,情
875,億
890,像
885,輪
869,練
874,駅
889,養
860,宿
882,熱
862,感
876,器
892,謝
3903,整理
3597,暗い
3599,暗記
7637,学問
3620,詩
3621,詩人
3622,詩歌
3617,緑
3618,緑色
3630,水銀
3631,銀
3632,銀色
3633,銀行
3536,力士
3530,問題
3635,〜放題
3636,話題
3641,旅館
3642,本館
3600,〜様
3601,様々
7751,王様
8705,神様
3603,目標
3604,橋
6798,俺
6800,俺たち
9227,マンション
9226,ワンピース
1594,彼
3612,熱
3613,熱い
3614,熱心
3626,車輪
3627,輪
6653,誰
6654,誰か
3543,予想
3544,回想
3545,思想
7694,想定
3624,謝る
3532,器
3533,器用
3534,楽器
3535,食器
3619,練習
3598,暗殺
3605,殺す
3606,殺人
3607,自殺
3643,駅
3644,駅前
3645,駅員
3646,駅長
3546,五感
3547,同感
3585,感じ
3586,感じる
3587,感動する
3588,感心
3589,感想
3590,感謝
7483,実感
3628,選ぶ
3629,選手
8804,特選
3531,疑問
3527,一億
3528,一億円
3529,億
3524,想像する
3526,画像
3537,宿題
3538,新宿
4881,宿
3591,整然
3608,全然
3609,当然
3610,自然
3639,養う
3640,養子
3625,賞金
3539,事情
3540,人情
3541,情け
3542,感情
3611,情熱
7538,表情
3525,映像
3594,映る
3595,映画
246,井
3881,消える
3883,流れる
8750,運動会
237,公
3909,自動
3886,勉強する
906,念
916,芸
927,頑
6799,俺ら
3891,悪口
3798,落ち着く
8782,
236,勺
3652,山登り
4149,試合
905,希
920,格
7688,待合
247,分
264,才
897,卒
908,望
917,基
910,束
900,周
8963,苺
8967,狼
898,協
899,参
907,折
918,性
888,願
896,例
902,固
904,完
903,季
921,能
924,骨
925,妥
3654,流行歌
8954,温まる
3653,流行語
3882,気持ち悪い
3889,起こす
3890,旅行者
3885,着ける
3946,回転する
8706,文化祭
7541,動き
8669,意地悪
3884,動かす
7585,深さ
3503,待ちぼうけ
3880,消化する
3034,場合
3650,消しゴム
3129,待たせる
3397,水着
3887,旅行する
3897,良好
3489,間に合う
3497,知り合い
3944,期待する
3945,回転ずし
3927,消化不良
7739,具合
3651,悪気
6946,合わせる
3395,着物
3396,下着
7696,言葉つき
8700,合図
3634,鏡
3592,入館料
3593,料金
3710,料理
911,松
912,残
901,囲
926,雰
914,的
915,約
909,材
8984,狼
8985,狼男
3623,課長
8975,苺
3663,一周
3665,周年
7584,周り
7638,周期
3655,例外
3656,一例
3657,例えば
3658,例文
3913,卒業
3668,固い
3671,四季
5896,彼
5897,彼氏
5898,彼ら
6030,彼女
3664,周囲
3666,囲む
3602,皆様
3615,皆さん
3672,完了
3673,完全
3674,完成
3695,束
3697,松
3698,松葉
3662,参る
8805,人参
3660,協会
3661,協力
3704,残り
3705,残る
3706,残業
3923,妥協
3669,頑固
3687,失望
3688,望み
3689,望む
3919,希望
3670,基本
3721,才能
3722,能力
8749,本能
3678,女性
3679,性病
3680,男性
7539,性
7639,理性
3723,芸能界
3724,芸人
3725,芸者
3692,木材
3693,材料
3694,材木
3667,雰囲気
3696,約束
3718,予約
3719,約
3684,折る
3685,折角
3711,〜的
3712,日本的
3713,目的
7752,意図的
7753,近代的
241,
3942,同期中
931,春
932,昼
951,浅
952,紀
958,晩
408,丈
9050,乗馬
9066,由来
3894,お願い
945,夫
954,軍
9229,トランプ
959,猫
243,男
8952,外す
946,建
9228,オノマトペ
955,飯
950,泣
245,歩
242,句
956,仏
919,技
929,岩
933,晴
1608,払
928,寺
930,帰
947,昨
953,英
944,変
934,秋
244,去
922,術
935,計
936,列
937,区
938,坂
948,毒
939,式
940,信
942,単
943,司
1891,匹
